painting,normalized_painting,genre,painter
georges-braque_a-girl(1).jpg,georges braque a girl 1  jpg,analytical_cubism,georges braque
georges-braque_bottle-and-fishes-1910.jpg,georges braque bottle and fishes 1910 jpg,analytical_cubism,georges braque
georges-braque_castle-at-la-roche-guyon-1909.jpg,georges braque castle at la roche guyon 1909 jpg,analytical_cubism,georges braque
georges-braque_clarinet-and-bottle-of-rum-on-a-mantelpiece-1911.jpg,georges braque clarinet and bottle of rum on a mantelpiece 1911 jpg,analytical_cubism,georges braque
georges-braque_fruitdish-and-glass-1912.jpg,georges braque fruitdish and glass 1912 jpg,analytical_cubism,georges braque
georges-braque_glass-on-a-table.jpg,georges braque glass on a table jpg,analytical_cubism,georges braque
georges-braque_glasses-and-bottle-1912.jpg,georges braque glasses and bottle 1912 jpg,analytical_cubism,georges braque
georges-braque_guitar-and-fruit-dish-1909.jpg,georges braque guitar and fruit dish 1909 jpg,analytical_cubism,georges braque
georges-braque_harbor-in-normandy-1909.jpg,georges braque harbor in normandy 1909 jpg,analytical_cubism,georges braque
georges-braque_homage-to-j-s-bach-1912.jpg,georges braque homage to j s bach 1912 jpg,analytical_cubism,georges braque
georges-braque_houses-at-estaque-1908.jpg,georges braque houses at estaque 1908 jpg,analytical_cubism,georges braque
georges-braque_le-sacre-coeur-1910.jpg,georges braque le sacre coeur 1910 jpg,analytical_cubism,georges braque
georges-braque_man-with-a-guitar-1911.jpg,georges braque man with a guitar 1911 jpg,analytical_cubism,georges braque
georges-braque_man-with-a-violin-1912.jpg,georges braque man with a violin 1912 jpg,analytical_cubism,georges braque
georges-braque_pedestal-table-1911.jpg,georges braque pedestal table 1911 jpg,analytical_cubism,georges braque
georges-braque_pedestal-table-stal-1912.jpg,georges braque pedestal table stal 1912 jpg,analytical_cubism,georges braque
georges-braque_portrait-of-a-woman.jpg,georges braque portrait of a woman jpg,analytical_cubism,georges braque
georges-braque_portuguese-1911.jpg,georges braque portuguese 1911 jpg,analytical_cubism,georges braque
georges-braque_rooftops-at-ceret-1911.jpg,georges braque rooftops at ceret 1911 jpg,analytical_cubism,georges braque
georges-braque_still-life-with-a-bunch-of-grapes-1912.jpg,georges braque still life with a bunch of grapes 1912 jpg,analytical_cubism,georges braque
georges-braque_still-life-with-a-pair-of-banderillas-1911.jpg,georges braque still life with a pair of banderillas 1911 jpg,analytical_cubism,georges braque
georges-braque_still-life-with-a-violin-1911.jpg,georges braque still life with a violin 1911 jpg,analytical_cubism,georges braque
georges-braque_still-life-with-harp-and-violin-1911.jpg,georges braque still life with harp and violin 1911 jpg,analytical_cubism,georges braque
georges-braque_the-bottle-of-rum-1912.jpg,georges braque the bottle of rum 1912 jpg,analytical_cubism,georges braque
georges-braque_the-candlestick-1911.jpg,georges braque the candlestick 1911 jpg,analytical_cubism,georges braque
georges-braque_the-castle-in-la-roche-guyon-1909.jpg,georges braque the castle in la roche guyon 1909 jpg,analytical_cubism,georges braque
georges-braque_the-city-on-the-hill-1909.jpg,georges braque the city on the hill 1909 jpg,analytical_cubism,georges braque
georges-braque_the-mandola-1910.jpg,georges braque the mandola 1910 jpg,analytical_cubism,georges braque
georges-braque_the-pitcher-1909.jpg,georges braque the pitcher 1909 jpg,analytical_cubism,georges braque
georges-braque_violin-and-candlestick-1910.jpg,georges braque violin and candlestick 1910 jpg,analytical_cubism,georges braque
georges-braque_violin-and-clarinet-on-a-table-1912.jpg,georges braque violin and clarinet on a table 1912 jpg,analytical_cubism,georges braque
georges-braque_violin-and-jug-1910.jpg,georges braque violin and jug 1910 jpg,analytical_cubism,georges braque
georges-braque_violin-and-palette-1909.jpg,georges braque violin and palette 1909 jpg,analytical_cubism,georges braque
georges-braque_violin-and-pitcher-1910.jpg,georges braque violin and pitcher 1910 jpg,analytical_cubism,georges braque
georges-braque_violin-mozart-kubelick-1912.jpg,georges braque violin mozart kubelick 1912 jpg,analytical_cubism,georges braque
georges-braque_woman-reading-1911.jpg,georges braque woman reading 1911 jpg,analytical_cubism,georges braque
georges-braque_woman-with-a-mandolin-1910.jpg,georges braque woman with a mandolin 1910 jpg,analytical_cubism,georges braque
juan-gris_portrait-of-pablo-picasso-1912.jpg,juan gris portrait of pablo picasso 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_a-glass-1911.jpg,pablo picasso a glass 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_bathers-drying-themselves-1909.jpg,pablo picasso bathers drying themselves 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_bathers-in-the-forest-1908.jpg,pablo picasso bathers in the forest 1908 jpg,analytical_cubism,pablo picasso
pablo-picasso_bathing-1908.jpg,pablo picasso bathing 1908 jpg,analytical_cubism,pablo picasso
pablo-picasso_bread-and-dish-with-fruits-on-the-table.jpg,pablo picasso bread and dish with fruits on the table jpg,analytical_cubism,pablo picasso
pablo-picasso_clarinet-1911.jpg,pablo picasso clarinet 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_clarinetist.jpg,pablo picasso clarinetist jpg,analytical_cubism,pablo picasso
pablo-picasso_dance-of-the-veils-1907.jpg,pablo picasso dance of the veils 1907 jpg,analytical_cubism,pablo picasso
pablo-picasso_female-nude.jpg,pablo picasso female nude jpg,analytical_cubism,pablo picasso
pablo-picasso_friendship-1908.jpg,pablo picasso friendship 1908 jpg,analytical_cubism,pablo picasso
pablo-picasso_girl-with-mandolin-fanny-tellier-1910.jpg,pablo picasso girl with mandolin fanny tellier 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_guitar-and-violin.jpg,pablo picasso guitar and violin jpg,analytical_cubism,pablo picasso
pablo-picasso_guitar-player-1910.jpg,pablo picasso guitar player 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_harlequin-leaning-1909.jpg,pablo picasso harlequin leaning 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_harlequin-s-family-1908.jpg,pablo picasso harlequin s family 1908 jpg,analytical_cubism,pablo picasso
pablo-picasso_harlequinesque-personage-1913.jpg,pablo picasso harlequinesque personage 1913 jpg,analytical_cubism,pablo picasso
pablo-picasso_houses-on-the-hill-1909.jpg,pablo picasso houses on the hill 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_jug-and-fruit-dish-1908.jpg,pablo picasso jug and fruit dish 1908 jpg,analytical_cubism,pablo picasso
pablo-picasso_landscape-with-posters-1912.jpg,pablo picasso landscape with posters 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_man-with-a-guitar-1911-1.jpg,pablo picasso man with a guitar 1911 1 jpg,analytical_cubism,pablo picasso
pablo-picasso_man-with-a-guitar-1911.jpg,pablo picasso man with a guitar 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_man-with-guitar-1912.jpg,pablo picasso man with guitar 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_my-beautiful-woman-with-guitar-1912.jpg,pablo picasso my beautiful woman with guitar 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_nude-figure.jpg,pablo picasso nude figure jpg,analytical_cubism,pablo picasso
pablo-picasso_poet-1911.jpg,pablo picasso poet 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_portrait-of-ambroise-vollard-1910.jpg,pablo picasso portrait of ambroise vollard 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_portrait-of-daniel-henry-kahnweiler-1910.jpg,pablo picasso portrait of daniel henry kahnweiler 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_seated-female-nude-1910.jpg,pablo picasso seated female nude 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_souvenir-from-havre-1912.jpg,pablo picasso souvenir from havre 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_spanish-still-life-1912.jpg,pablo picasso spanish still life 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_still-life-on-the-piano-cort-1911.jpg,pablo picasso still life on the piano cort 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_still-life-with-bottle-of-anis-del-mono-1909.jpg,pablo picasso still life with bottle of anis del mono 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_still-life-with-bottle-of-rum-1911.jpg,pablo picasso still life with bottle of rum 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_still-life-with-the-caned-chair-1912.jpg,pablo picasso still life with the caned chair 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_study-to-girls-from-avignon-1906.jpg,pablo picasso study to girls from avignon 1906 jpg,analytical_cubism,pablo picasso
pablo-picasso_table-in-a-cafe-bottle-of-pernod-1912.jpg,pablo picasso table in a cafe bottle of pernod 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-aficionado-the-torero-1912.jpg,pablo picasso the aficionado the torero 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-chess-1911.jpg,pablo picasso the chess 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-mandolinist-1911.jpg,pablo picasso the mandolinist 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-piano-accordionist-1911.jpg,pablo picasso the piano accordionist 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-pigeon-pea-1912.jpg,pablo picasso the pigeon pea 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_the-shell-saint-jacques-our-future-is-in-the-air-1912.jpg,pablo picasso the shell saint jacques our future is in the air 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_violin-glass-pipe-and-inkwell-1912.jpg,pablo picasso violin glass pipe and inkwell 1912 jpg,analytical_cubism,pablo picasso
pablo-picasso_william-uhde-1910.jpg,pablo picasso william uhde 1910 jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-and-pears-fernande-1909.jpg,pablo picasso woman and pears fernande 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-sitting-in-an-armchair.jpg,pablo picasso woman sitting in an armchair jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-with-a-mandolin-1909.jpg,pablo picasso woman with a mandolin 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-with-guitar-and-piano-1911.jpg,pablo picasso woman with guitar and piano 1911 jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-with-guitar.jpg,pablo picasso woman with guitar jpg,analytical_cubism,pablo picasso
pablo-picasso_woman-with-mandolin-1909.jpg,pablo picasso woman with mandolin 1909 jpg,analytical_cubism,pablo picasso
pablo-picasso_advertisement-for-lecitina-agell-1902.jpg,pablo picasso advertisement for lecitina agell 1902 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_advertisement-for-tavern-four-cats-1897.jpg,pablo picasso advertisement for tavern four cats 1897 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917-1.jpg,pablo picasso costume design for ballet tricorne 1917 1 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917-2.jpg,pablo picasso costume design for ballet tricorne 1917 2 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917-3.jpg,pablo picasso costume design for ballet tricorne 1917 3 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917-4.jpg,pablo picasso costume design for ballet tricorne 1917 4 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917-5.jpg,pablo picasso costume design for ballet tricorne 1917 5 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_costume-design-for-ballet-tricorne-1917.jpg,pablo picasso costume design for ballet tricorne 1917 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_couple-walking-1901.jpg,pablo picasso couple walking 1901 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_courtesan-with-necklace-of-gems-1901.jpg,pablo picasso courtesan with necklace of gems 1901 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_picasso-with-partner-1901.jpg,pablo picasso picasso with partner 1901 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_pierrot-and-harlequin-1920.jpg,pablo picasso pierrot and harlequin 1920 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_scene-design-for-pulcinella-1920.jpg,pablo picasso scene design for pulcinella 1920 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_seated-fat-clown-1905.jpg,pablo picasso seated fat clown 1905 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_the-cries-of-virgins-1900.jpg,pablo picasso the cries of virgins 1900 jpg,art_nouveau_modern,pablo picasso
pablo-picasso_woman-on-the-street-1901.jpg,pablo picasso woman on the street 1901 jpg,art_nouveau_modern,pablo picasso
marevna-(marie-vorobieff)_portrait-of-pablo-picasso-1956.jpg,marevna  marie vorobieff  portrait of pablo picasso 1956 jpg,cubism,pablo picasso
pablo-picasso_a-bullfight-1934.jpg,pablo picasso a bullfight 1934 jpg,cubism,pablo picasso
pablo-picasso_a-child-with-pigeons-1943.jpg,pablo picasso a child with pigeons 1943 jpg,cubism,pablo picasso
pablo-picasso_a-dream-1932.jpg,pablo picasso a dream 1932 jpg,cubism,pablo picasso
pablo-picasso_a-driade-nude-in-the-forest-1908.jpg,pablo picasso a driade nude in the forest 1908 jpg,cubism,pablo picasso
